endTime,artistName,trackName,msPlayed
2023-03-08 14:42,Taylor Swift,Lover - Live From Paris,229733
2023-03-08 14:45,Niall Horan,Heaven,186043
2023-03-08 14:49,Taylor Swift,Clean,271000
2023-03-08 14:52,Phoebe Bridgers,Motion Sickness,182059
2023-03-08 15:40,Fonseca,Vine a Buscarte,69034
2023-03-08 16:20,Azules De Los Angeles,Amor A Primera,1770
2023-03-08 16:20,Angel Y Khriz,Ayer La Vi,1536
2023-03-08 16:20,Angel Y Khriz,Ayer La Vi,1706
2023-03-08 16:20,Tony Dize,El Doctorado,167786
2023-03-08 16:20,Tony Dize,El Doctorado,895
2023-03-08 16:20,Alexis y Fido,Rompe la Cintura,21
2023-03-08 16:20,Alexis y Fido,Rompe la Cintura,1301
2023-03-08 16:20,Fonseca,Vine a Buscarte,3349
2023-03-08 16:23,BIP,La Maldita Primavera,213183
2023-03-08 16:52,U2,With Or Without You - Songs Of Surrender,12671
2023-03-08 16:52,U2,One - Songs Of Surrender,384
2023-03-08 16:54,Taron Egerton,A Sky Full of Stars,130581
2023-03-08 17:36,Kygo,Stargazing,236853
2023-03-08 17:38,Mike Perry,Talk About It,164536
2023-03-08 17:39,Mike Perry,I Can't Love,13503
2023-03-08 19:55,Juanes,Gris,189586
2023-03-08 20:20,LAGOS,No Se Acaba Hasta Que Acabe,30841
2023-03-08 23:27,Taylor Swift,Love Story (Taylor’s Version),3029
2023-03-08 23:27,Taylor Swift,Lavender Haze,1962
2023-03-08 23:27,Taylor Swift,Anti-Hero,3541
2023-03-08 23:31,Taylor Swift,august,261922
2023-03-08 23:36,Taylor Swift,tolerate it,245440
2023-03-08 23:47,Taylor Swift,mirrorball,90634
2023-03-09 00:22,Taylor Swift,Cornelia Street - Live From Paris,296396
2023-03-09 00:26,Taylor Swift,The Man - Live From Paris,219670
2023-03-09 00:30,Taylor Swift,Daylight - Live From Paris,262659
2023-03-09 00:33,Taylor Swift,You Need To Calm Down - Live From Paris,204224
2023-03-09 00:35,Taylor Swift,Lover - Live From Paris,30004
2023-03-09 16:40,Rufus Wainwright,Down in the Willow Garden (feat. Brandi Carlile),146965
2023-03-09 17:21,Big Star,Thirteen,2218
2023-03-09 17:24,Brytiago,Más de Ti,151850
2023-03-09 17:28,Arcángel,La Jumpa,255693
2023-03-09 17:31,TINI,Cupido,174369
2023-03-09 17:35,KAROL G,TQG,197933
2023-03-09 17:37,Sebastian Yatra,Una Noche Sin Pensar,161173
2023-03-09 17:40,Jay Wheeler,No Confío,41064
2023-03-09 17:40,Aventura,Volví,3328
2023-03-09 17:44,Arcángel,La Jumpa,255693
2023-03-09 17:48,KAROL G,TQG,197933
2023-03-09 17:49,Gorillaz,Tormenta (feat. Bad Bunny),101447
2023-03-09 17:52,TINI,Cupido,174369
2023-03-09 17:54,Jay Wheeler,La Curiosidad (feat. Myke Towers) - Mixed,93652
2023-03-09 17:58,Maluma,Mojando Asientos (feat. Feid),252162
2023-03-09 17:59,Sebastian Yatra,Una Noche Sin Pensar,46187
2023-03-09 18:13,Ruth B.,Dandelions,0
2023-03-09 18:13,One Direction,You & I,3283
2023-03-09 18:14,Ruth B.,Dandelions,0
2023-03-09 18:14,One Direction,You & I,4057
2023-03-09 18:16,Manuel Turizo,La Bachata,162637
2023-03-09 18:19,Ozuna,Hey Mor,196600
2023-03-09 18:28,KAROL G,MAÑANA SERÁ BONITO,210986
2023-03-09 18:33,Lunay,Soltera (Remix),266086
2023-03-09 18:36,Bad Bunny,Yonaguni,206710
2023-03-09 18:39,Quevedo,VISTA AL MAR,180672
2023-03-09 18:42,Danny Ocean,Volare,147598
2023-03-09 18:44,3AM,Emeycé,176222
2023-03-09 18:47,KAROL G,TUS GAFITAS,167786
2023-03-09 18:48,J Balvin,LA CANCIÓN,38413
2023-03-09 20:00,Anthony Gonzalez,Un Poco Loco,73493
2023-03-09 20:00,Carlos Rivera,Recuérdame,490
2023-03-09 20:03,Jorge Blanco,"Bésame mucho - Inspirado en ""Coco""",177906
2023-03-09 20:05,Carlos Rivera,Recuérdame,165506
2023-03-09 20:06,Gael Garcia Bernal,Juanita,39800
2023-03-09 21:13,Marco Antonio Solís,Dueto a Través del Tiempo,37418
2023-03-09 21:15,Luis Ángel Gómez Jaramillo,Un Poco Loco,112205
2023-03-09 21:16,Marco Antonio Solís,Recuérdame (Interpretada por Ernesto De la Cruz),8554
2023-03-09 21:16,Benjamin Bratt,Remember Me (Ernesto de la Cruz),7700
2023-03-09 21:16,Carlos Rivera,Recuérdame,1557
2023-03-09 21:21,U2,Your Song Saved My Life - From Sing 2,211066
2023-03-09 21:23,Kiana Ledé,Can't Feel My Face,85841
2023-03-10 00:27,Maluma,La Reina,141890
2023-03-10 00:37,Taron Egerton,A Sky Full of Stars,157492
2023-03-10 00:40,Halsey,Could Have Been Me,148732
2023-03-10 01:46,Juan Magán,Bye,197231
2023-03-10 01:49,Big Yamo,Entre la Playa Ella y Yo,185077
2023-03-10 01:52,Fainal,Dame Un Besito (feat. Chino & Nacho),186463
2023-03-10 01:55,Danny Ocean,Me Rehúso,205714
2023-03-10 02:00,Daddy Yankee,Limbo,224693
2023-03-10 02:03,Carlos Baute,Te regalo,169720
2023-03-10 02:06,Yandel,Moviendo Caderas (feat. Daddy Yankee),199026
2023-03-10 02:10,Fonseca,Eres Mi Sueño,209786
2023-03-10 02:20,Maluma,La Temperatura (feat. Eli Palacios),224786
2023-03-10 02:32,Enrique Iglesias,Bailando - Spanish Version,243413
2023-03-10 02:36,Chino & Nacho,Niña Bonita,216786
2023-03-10 02:40,Juan Magán,Quiero Que Sepas,248093
2023-03-10 02:40,BIP,La Maldita Primavera,29233
2023-03-10 03:02,Gryffin,Whole Heart,225493
2023-03-10 03:05,Ryan McMullan,Ruthless Cupid,25994
2023-03-10 03:05,Selena Gomez,Good For You,191090
2023-03-10 03:08,GIULIA BE,menina solta,150368
2023-03-10 03:10,GIULIA BE,eu me amo mais,114286
2023-03-10 03:12,GIULIA BE,(não) era amor,158310
2023-03-10 03:15,GIULIA BE,pessoa certa hora errada,164383
2023-03-10 03:18,GIULIA BE,LOKKO,158945
2023-03-10 03:18,GIULIA BE,Te Sigo Somando,8063
2023-03-10 03:21,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",199334
2023-03-10 03:24,Shakira,Te Felicito,172644
2023-03-10 03:27,Piso 21,Los Cachos,212578
2023-03-10 03:31,El Alfa,LOS APARATOS,233329
2023-03-10 03:35,Rauw Alejandro,LOKERA,197356
2023-03-10 03:38,Quevedo,SIN SEÑAL,185324
2023-03-10 03:41,Nicky Jam,Sin Novia,188655
2023-03-10 03:44,Anuel AA,Mercedes Tintia,195601
2023-03-10 03:47,De La Ghetto,Loco Por Perrearte - Remix,199593
2023-03-10 03:50,Maria Becerra,AUTOMÁTICO,175730
2023-03-10 03:54,NATTI NATASHA,Mayor Que Usted,233822
2023-03-10 03:57,ROSALÍA,DESPECHÁ,157221
2023-03-10 03:59,Kali Uchis,NO HAY LEY,157574
2023-03-10 04:03,TINI,La Loto,191098
2023-03-10 04:07,Bad Bunny,Tití Me Preguntó,244031
2023-03-10 04:09,Peso Pluma,Siempre Pendientes,156809
2023-03-10 04:12,Bad Bunny,Neverita,173760
2023-03-10 04:16,Romeo Santos,El Pañuelo,235010
2023-03-10 04:18,Luar La L,Caile,141523
2023-03-10 04:21,Becky G,BAILÉ CON MI EX,162090
2023-03-10 04:24,Quevedo,VISTA AL MAR,181092
2023-03-10 04:27,Paulo Londra,Noche de Novela (feat. Ed Sheeran),192145
2023-03-10 04:31,Feid,Si Te La Encuentras Por Ahí,191821
2023-03-10 04:34,Prince Royce,Si Te Preguntan... - feat. Nicky Jam & Jay Wheeler,223362
2023-03-10 04:39,Chris Jedi,La Llevo Al Cielo (Ft. Ñengo Flow),255250
2023-03-10 04:41,Danny Ocean,Fuera del mercado,160056
2023-03-10 04:47,Polimá Westcoast,ULTRA SOLO REMIX,322950
2023-03-10 04:51,Jay Wheeler,Suelta,244250
2023-03-10 04:54,Tiago PZK,Traductor,223145
2023-03-10 04:57,Chris Lebron,Desde Mis Ojos - Remix,165421
2023-03-10 05:00,BIP,La Maldita Primavera,147126
2023-03-10 05:03,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",215444
2023-03-10 05:06,Feid,Feliz Cumpleaños Ferxxo,156602
2023-03-10 05:09,Bad Bunny,Efecto,213523
2023-03-10 05:13,KAROL G,PROVENZA,210472
2023-03-10 05:16,Anitta,Envolver,194057
2023-03-10 05:19,KAROL G,TQG,198801
2023-03-10 05:21,Rels B,cómo dormiste?,112717
2023-03-10 05:25,Lasso,Ojos Marrones,198777
2023-03-10 05:28,KAROL G,GATÚBELA,209431
2023-03-10 05:30,Maluma,Nos Comemos Vivos,100037
2023-03-10 05:34,Luis Miguel,Hasta Que Me Olvides,281396
2023-03-10 05:37,Ryan Castro,Jordan,176370
2023-03-10 05:41,Zion & Lennox,Berlin,246380
2023-03-10 05:42,Duki,Antes de Perderte,63619
2023-03-10 05:46,Juan Luis Guerra 4.40,Bachata En Fukuoka,191447
2023-03-10 05:49,Juan Luis Guerra 4.40,El Niágara en Bicicleta,215427
2023-03-10 05:49,Juan Luis Guerra 4.40,Bachata Rosa,10172
2023-03-10 05:50,Juan Luis Guerra 4.40,Las Avispas,46152
2023-03-10 05:52,GIULIA BE,Too Bad,95243
2023-03-10 05:52,MC L da Vinte,Parado no Bailão,25493
2023-03-10 05:53,MC L da Vinte,Parado no Bailão,57921
2023-03-10 05:56,GIULIA BE,BEYOND THE UNIVERSE,6680
2023-03-10 05:56,Michel Teló,Ai Se Eu Te Pego,171707
2023-03-10 05:57,Jadu Jadu,virgo,4965
2023-03-10 05:57,Manuel Turizo,La Bachata,50188
2023-03-10 06:00,LiL CaKe,MERCHO,145267
2023-03-10 06:03,Manhy,Que Bonito Amor,198090
2023-03-10 06:07,J Alvarez,La Pregunta,240554
2023-03-10 06:14,Cali Y El Dandee,Yo Te Esperaré,420691
2023-03-10 06:18,Justin Quiles,Otra Copa (feat. Farruko),253705
2023-03-10 06:21,Big Yamo,Entre la Playa Ella y Yo,185317
2023-03-10 06:22,Fuego,Una Vaina Loca (feat. El Potro Alvarez),51138
2023-03-10 06:25,Bad Bunny,Amorfoda,154132
2023-03-10 06:28,Abraham Mateo,Loco Enamorado,1429
2023-03-10 06:28,Zion & Lennox,Otra vez (feat. J Balvin),209220
2023-03-10 06:28,Calle 13,Atrévete-Te-Te,1785
2023-03-10 06:29,Mau y Ricky,Desconocidos,2478
2023-03-10 06:29,Jadu Jadu,virgo,399
2023-03-10 06:29,Calle 13,Atrévete-Te-Te,1009
2023-03-10 06:33,Calle 13,Atrévete-Te-Te,227264
2023-03-10 06:36,Don Patricio,Contando Lunares (feat. Cruz Cafuné),220367
2023-03-10 06:40,IAmChino,Ay Mi Dios,252514
2023-03-10 06:44,Carlitos Rossy,Quien Dijo Amigos?,224182
2023-03-10 06:46,DL & Smiles,Juntos En La Playa,91371
2023-03-10 06:49,6ix9ine,BEBE,198019
2023-03-10 06:52,Hardwell,Apollo - Radio Edit,150907
2023-03-10 06:53,Benja Murano,Estamos Bien Intoxicados,107779
2023-03-10 06:54,A Banda Mais Bonita da Cidade,Oração,9241
2023-03-10 06:58,Chema Rivas,Mil Tequilas,255967
2023-03-10 07:01,Anuel AA,Amanece,190250
2023-03-10 07:05,ChocQuibTown,Pa Olvidarte (feat. Manuel Turizo) - Remix,256935
2023-03-10 07:10,Wisin & Yandel,Algo Me Gusta De Ti,270724
2023-03-10 07:14,Los Bonnitos,Cae el Sol,26206
2023-03-10 07:14,Juan Magán,Déjate Llevar,233757
2023-03-10 07:15,Los Bonnitos,Cae el Sol,9427
2023-03-10 07:18,Zion & Lennox,La player (Bandolera),1278
2023-03-10 07:18,Los Bonnitos,Cae el Sol,195955
2023-03-10 07:18,Los Bonnitos,Cae el Sol,285
2023-03-10 07:23,A Banda Mais Bonita da Cidade,Oração,301963
2023-03-10 07:24,Maluma,Qué Pena,5271
2023-03-10 07:24,Los Bonnitos,Cae el Sol,2474
2023-03-10 07:24,Danny Ocean,Dime tú,2436
2023-03-10 07:24,Valentino,Besame,12731
2023-03-10 07:28,ChocQuibTown,Pa Olvidarte (feat. Manuel Turizo) - Remix,257419
2023-03-10 07:32,Justin Quiles,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",258935
2023-03-10 07:35,Sebastian Yatra,Runaway,137403
2023-03-10 16:53,Unknown Artist,Unknown Track,4481
2023-03-10 16:53,CNCO,Mi Medicina,18560
2023-03-10 16:53,Wisin & Yandel,Chica Bombastic,1280
2023-03-10 16:53,Haze,Piensan,1258
2023-03-10 16:53,Piso 21,Puntos Suspensivos,512
2023-03-10 16:53,Unknown Artist,Unknown Track,4663
2023-03-10 16:53,Manuel Turizo,Esclavo de Tus Besos,2773
2023-03-10 16:58,Journey,Separate Ways (Worlds Apart),323706
2023-03-10 17:03,Billy Joel,Only the Good Die Young,235560
2023-03-10 17:24,Queen,Headlong,226197
2023-03-10 17:28,Missing Persons,Bette Davis Eyes,224693
2023-03-10 17:30,T. Rex,Ride a White Swan - 2016 Remaster,124204
